market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests
Online TA,0,0,No Deposit,0,Transient,F,0,1
Online TA,0,0,No Deposit,0,Contract,A,0,2
Online TA,0,3,No Deposit,0,Transient-Party,A,0,1
Groups,0,1,No Deposit,0,Transient-Party,A,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,3
Online TA,0,2,No Deposit,0,Transient-Party,A,0,2
Direct,0,0,No Deposit,0,Transient,F,1,0
Offline TA/TO,0,3,No Deposit,0,Transient,E,1,0
Corporate,0,0,No Deposit,0,Transient,A,0,4
Direct,0,1,No Deposit,0,Transient,G,0,0
Corporate,0,0,No Deposit,0,Transient,A,1,3
Offline TA/TO,0,1,No Deposit,63,Transient-Party,A,0,0
Direct,0,2,No Deposit,0,Transient,F,1,0
Online TA,0,0,No Deposit,0,Transient,F,1,2
Online TA,0,0,No Deposit,0,Transient,A,0,3
Online TA,0,5,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1
Direct,0,0,No Deposit,0,Transient,G,0,0
Direct,0,0,No Deposit,0,Group,A,1,1
Online TA,0,1,No Deposit,0,Transient-Party,A,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient,C,0,2
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2
Online TA,0,0,No Deposit,0,Transient-Party,E,0,1
Direct,0,0,No Deposit,0,Transient,A,1,2
Online TA,0,1,No Deposit,0,Transient,F,0,0
Online TA,0,0,No Deposit,0,Contract,B,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,1
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,F,1,3
Online TA,0,2,No Deposit,0,Transient,A,0,1
Direct,0,0,No Deposit,0,Transient,C,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,0
Corporate,2,1,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,D,1,2
Groups,0,0,No Deposit,0,Transient-Party,A,0,0
Direct,0,0,No Deposit,0,Transient,D,0,0
Direct,0,0,No Deposit,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient,D,0,2
Offline TA/TO,0,0,No Deposit,0,Transient,G,1,0
Direct,0,6,No Deposit,0,Transient,A,0,2
Online TA,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Contract,F,0,1
Direct,0,6,No Deposit,0,Transient,A,0,0
Online TA,1,1,No Deposit,0,Contract,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,A,0,3
Corporate,0,2,No Deposit,0,Transient,A,0,1
Online TA,0,0,No Deposit,0,Transient,G,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,2
Offline TA/TO,0,1,No Deposit,0,Transient-Party,F,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,4
Complementary,0,0,No Deposit,0,Transient,F,0,2
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,2
Online TA,0,1,No Deposit,0,Transient,A,1,0
Direct,0,0,No Deposit,0,Transient,D,0,2
Online TA,0,1,No Deposit,0,Transient,A,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1
Offline TA/TO,0,1,No Deposit,63,Transient-Party,A,0,0
Groups,0,0,No Deposit,379,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1
Online TA,0,0,No Deposit,0,Transient,F,0,1
Aviation,0,0,No Deposit,0,Transient-Party,D,0,0
Groups,0,0,No Deposit,0,Transient-Party,D,0,0
Offline TA/TO,0,1,No Deposit,44,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0
Direct,11,0,No Deposit,0,Transient,E,0,0
Direct,1,0,No Deposit,0,Transient-Party,A,0,3
Online TA,0,0,No Deposit,0,Transient,D,1,1
Online TA,0,2,No Deposit,0,Transient-Party,E,0,3
Direct,0,0,No Deposit,0,Transient,A,1,0
Direct,0,0,No Deposit,0,Transient,G,1,1
Direct,0,3,No Deposit,0,Transient,F,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient-Party,B,0,2
Corporate,0,0,No Deposit,0,Transient,D,0,0
Online TA,1,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient-Party,A,0,2
Direct,1,0,No Deposit,0,Transient,E,0,2
Online TA,0,0,No Deposit,0,Transient,G,1,2
Groups,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient,H,0,1
Direct,0,0,No Deposit,0,Transient,A,0,2
Direct,0,0,No Deposit,0,Transient,F,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,1
Groups,0,0,No Deposit,0,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,77,Transient-Party,A,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,1
Direct,0,1,No Deposit,0,Transient,D,1,1
Direct,0,0,No Deposit,0,Transient,C,0,3
Online TA,0,1,No Deposit,0,Transient,D,1,3
Online TA,0,0,No Deposit,0,Transient,E,0,0
Complementary,0,0,No Deposit,0,Transient-Party,D,0,1
Online TA,0,1,No Deposit,0,Transient,D,1,0
Offline TA/TO,0,3,No Deposit,0,Transient,A,0,0
Groups,0,2,No Deposit,0,Transient-Party,A,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,C,1,3
Direct,0,0,No Deposit,0,Transient-Party,D,0,1
Groups,0,0,No Deposit,0,Transient-Party,A,0,2
Online TA,0,1,No Deposit,0,Transient,F,0,0
Direct,0,1,No Deposit,0,Transient-Party,A,0,0
Direct,0,5,No Deposit,0,Transient,D,1,0
Online TA,0,5,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,0,No Deposit,0,Transient,G,0,0
Groups,0,0,No Deposit,330,Transient-Party,A,0,0
Direct,0,0,No Deposit,0,Transient,A,1,1
Online TA,0,4,No Deposit,0,Transient,D,0,0
Direct,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,1
Direct,0,1,No Deposit,0,Transient,H,1,0
Direct,0,1,No Deposit,0,Transient,H,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,1
Aviation,0,4,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2
Online TA,0,2,No Deposit,0,Transient,D,0,2
Direct,0,2,No Deposit,0,Transient,D,1,2
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,1
Aviation,2,0,No Deposit,0,Transient,D,0,0
Online TA,0,1,No Deposit,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient-Party,A,0,2
Offline TA/TO,0,0,No Deposit,0,Transient,E,1,1
Online TA,0,2,No Deposit,0,Transient,D,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,1
Complementary,0,0,No Deposit,0,Transient,E,0,2
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2
Online TA,0,4,No Deposit,0,Transient,A,0,0
Corporate,0,3,No Deposit,0,Transient-Party,E,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,1,No Deposit,0,Group,B,0,2
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,2
Direct,0,0,No Deposit,0,Transient,A,0,2
Offline TA/TO,0,0,Non Refund,7,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0
Online TA,0,1,No Deposit,0,Transient,G,1,0
Online TA,0,2,No Deposit,0,Transient,G,0,1
Groups,0,1,No Deposit,174,Transient-Party,A,0,0
Direct,0,0,No Deposit,0,Transient-Party,E,1,1
Groups,0,1,Non Refund,71,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,0
Online TA,0,1,No Deposit,0,Contract,F,0,1
Offline TA/TO,0,1,No Deposit,99,Transient-Party,A,0,0
Complementary,0,0,No Deposit,0,Transient,A,0,2
Online TA,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1
Groups,0,0,No Deposit,0,Transient-Party,D,0,1
Corporate,2,0,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,D,0,2
Online TA,0,0,No Deposit,0,Transient,E,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,0
Online TA,0,3,No Deposit,0,Transient-Party,D,0,0
Online TA,0,1,No Deposit,0,Transient-Party,D,0,3
Online TA,0,2,No Deposit,0,Transient,D,0,1
Groups,0,0,No Deposit,0,Transient-Party,E,0,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,3
Online TA,0,0,No Deposit,0,Transient,A,1,2
Groups,0,0,No Deposit,379,Transient-Party,A,0,1
Direct,0,0,No Deposit,0,Transient,F,0,0
Complementary,0,1,No Deposit,0,Transient,F,1,0
Direct,0,2,No Deposit,0,Transient,E,1,3
Online TA,0,0,No Deposit,0,Transient,A,0,3
Complementary,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,1,No Deposit,0,Transient,D,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,0
Groups,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,3
Direct,0,0,No Deposit,0,Transient,E,0,0
Direct,0,2,No Deposit,0,Transient,A,1,0
Direct,0,0,No Deposit,0,Transient,E,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,2
Corporate,0,2,No Deposit,0,Transient-Party,A,0,0
Online TA,0,1,No Deposit,0,Transient,C,1,1
Offline TA/TO,0,1,No Deposit,0,Transient,D,0,4
Online TA,0,0,No Deposit,0,Transient,E,0,2
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,3
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,2
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1
Direct,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Contract,D,0,2
Online TA,0,4,No Deposit,0,Transient,F,0,1
Online TA,0,2,No Deposit,0,Transient-Party,A,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,2
Aviation,0,0,No Deposit,0,Transient,D,0,1
Groups,0,2,No Deposit,0,Transient-Party,A,0,0
Online TA,0,2,No Deposit,0,Transient,D,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,3,No Deposit,0,Transient,A,0,1
Direct,0,0,No Deposit,0,Transient-Party,G,0,2
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,0,No Deposit,0,Transient,A,1,0
Online TA,0,1,No Deposit,0,Transient,E,1,1
Direct,0,1,No Deposit,0,Transient,G,0,4
Online TA,0,1,No Deposit,0,Transient,C,0,2
Complementary,0,3,No Deposit,0,Transient,C,0,2
Online TA,11,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,2
Direct,0,0,No Deposit,0,Transient,G,1,0
Online TA,0,0,No Deposit,0,Transient,F,1,0
Online TA,0,4,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,G,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1
Corporate,0,2,No Deposit,0,Transient,E,0,2
Online TA,0,0,No Deposit,0,Transient,C,0,0
Direct,0,1,No Deposit,0,Transient,F,0,0
Online TA,0,0,No Deposit,0,Transient,D,1,1
Online TA,0,2,No Deposit,0,Transient,A,0,1
Offline TA/TO,0,1,No Deposit,223,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,4
Online TA,0,0,No Deposit,0,Contract,B,0,1
Direct,0,0,No Deposit,0,Transient,A,0,5
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2
Online TA,0,1,No Deposit,0,Transient,B,0,2
Online TA,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,1
Direct,0,0,No Deposit,0,Transient,B,0,0
Corporate,0,0,No Deposit,0,Transient-Party,D,1,1
Online TA,0,0,No Deposit,0,Contract,A,0,2
Groups,0,2,Non Refund,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2
Direct,0,2,No Deposit,0,Transient,E,1,2
Online TA,0,0,No Deposit,0,Transient,A,0,1
Groups,0,1,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient-Party,F,1,2
Direct,0,0,No Deposit,0,Transient,G,1,1
Online TA,1,0,No Deposit,0,Transient,D,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,0
Groups,0,2,Non Refund,0,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,2,No Deposit,0,Transient,G,0,2
Online TA,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,1,No Deposit,0,Transient,D,0,0
Direct,0,1,No Deposit,0,Transient,F,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2
Online TA,0,0,No Deposit,0,Transient-Party,B,0,2
Direct,0,1,No Deposit,0,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,G,0,1
Groups,0,0,No Deposit,0,Transient,A,1,0
Offline TA/TO,0,1,No Deposit,0,Group,D,0,1
Groups,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,1
Online TA,0,1,No Deposit,0,Transient,E,0,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,2
Direct,0,1,No Deposit,0,Transient,A,0,4
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1
Online TA,0,3,No Deposit,0,Transient,F,1,0
Complementary,0,1,No Deposit,0,Transient-Party,C,0,0
Groups,0,0,No Deposit,0,Transient,A,0,0
Corporate,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,1,No Deposit,0,Transient,F,1,2
Corporate,0,2,No Deposit,0,Contract,A,0,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,1
Online TA,0,2,No Deposit,0,Transient,B,0,0
Groups,0,3,No Deposit,0,Transient-Party,A,0,2
Online TA,1,0,No Deposit,0,Transient,A,0,2
Groups,0,0,No Deposit,75,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,2
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,3
Direct,0,1,No Deposit,0,Transient,C,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,0,No Deposit,0,Transient,B,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0
Direct,0,1,No Deposit,0,Transient-Party,G,0,1
Offline TA/TO,0,0,No Deposit,0,Group,D,0,0
Online TA,0,1,No Deposit,0,Transient,A,1,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,1,1
Direct,0,1,No Deposit,0,Transient,E,0,1
Online TA,0,3,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Contract,A,0,2
Online TA,0,0,No Deposit,0,Transient,H,1,1
Corporate,0,0,No Deposit,0,Transient-Party,A,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1
Direct,0,0,No Deposit,0,Transient,C,0,1
Online TA,0,4,No Deposit,0,Transient,B,0,2
Direct,0,1,No Deposit,0,Transient,E,0,0
Direct,0,0,No Deposit,0,Transient,E,0,0
Direct,0,1,No Deposit,0,Group,A,0,1
Groups,0,2,No Deposit,0,Transient-Party,B,0,1
Offline TA/TO,0,0,No Deposit,0,Contract,A,0,2
Online TA,0,0,No Deposit,0,Transient,D,0,1
Direct,0,1,No Deposit,0,Transient,E,0,0
Direct,0,1,No Deposit,0,Group,A,0,0
Groups,0,0,No Deposit,0,Transient-Party,C,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient,E,0,3
Online TA,0,0,No Deposit,0,Transient,A,0,0
Direct,0,2,No Deposit,0,Transient,D,0,1
Online TA,0,1,No Deposit,0,Transient,E,0,1
Online TA,0,1,No Deposit,0,Transient,B,0,0
Direct,0,1,No Deposit,0,Transient,C,0,1
Online TA,0,1,No Deposit,0,Transient,F,0,1
Online TA,0,2,No Deposit,0,Transient,D,0,2
Direct,0,1,No Deposit,0,Transient,E,0,0
Offline TA/TO,0,2,No Deposit,0,Contract,E,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,3,No Deposit,0,Transient,F,0,1
Online TA,0,0,No Deposit,0,Transient-Party,A,1,1
Direct,0,0,No Deposit,0,Transient,F,0,2
Online TA,0,3,No Deposit,0,Transient-Party,A,0,1
Online TA,1,1,No Deposit,0,Contract,A,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,0
Online TA,0,0,No Deposit,0,Transient,C,0,0
Direct,0,0,No Deposit,0,Transient,A,1,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,2,No Deposit,0,Transient,D,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0
Groups,0,2,Refundable,0,Transient-Party,A,0,0
Groups,0,12,No Deposit,0,Transient-Party,A,0,0
Groups,0,0,No Deposit,0,Transient-Party,D,0,0
Online TA,0,1,No Deposit,0,Transient,C,0,2
Online TA,0,1,No Deposit,0,Transient,G,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,2
Online TA,0,0,No Deposit,0,Transient,A,1,1
Groups,0,1,Non Refund,0,Transient-Party,E,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,1
Complementary,1,1,No Deposit,0,Transient,D,0,2
Online TA,0,1,No Deposit,0,Transient,E,0,3
Online TA,0,3,No Deposit,0,Transient,D,0,0
Online TA,0,0,No Deposit,0,Transient-Party,C,0,3
Direct,0,2,No Deposit,0,Transient,F,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient,E,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,0
Online TA,0,2,No Deposit,0,Transient,A,1,0
Online TA,0,1,No Deposit,0,Transient,D,0,0
Online TA,0,2,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,2
Complementary,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,0,No Deposit,0,Contract,A,1,2
Complementary,0,1,No Deposit,0,Transient,A,0,3
Direct,0,3,No Deposit,0,Transient,A,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,2
Direct,0,2,No Deposit,0,Transient,H,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,5
Groups,0,1,Non Refund,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient,E,0,1
Online TA,0,1,No Deposit,0,Transient,D,0,3
Online TA,0,0,No Deposit,0,Transient,A,0,2
Complementary,0,1,No Deposit,0,Transient,F,1,4
Direct,0,3,No Deposit,0,Transient-Party,D,0,1
Online TA,0,0,No Deposit,0,Transient,B,0,1
Offline TA/TO,0,0,No Deposit,0,Contract,E,0,1
Online TA,0,12,No Deposit,0,Transient,A,0,2
Corporate,1,0,No Deposit,0,Transient,E,0,0
Online TA,0,0,No Deposit,0,Transient,D,1,1
Corporate,0,1,No Deposit,0,Transient,A,0,1
Aviation,0,0,No Deposit,0,Transient,A,0,0
Direct,0,1,No Deposit,0,Transient,C,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0
Groups,0,1,No Deposit,0,Transient-Party,D,1,0
Direct,0,2,No Deposit,0,Transient,E,0,1
Corporate,0,0,No Deposit,0,Transient,E,0,2
Online TA,0,0,No Deposit,0,Transient,A,0,3
Direct,0,0,No Deposit,0,Transient,G,1,2
Online TA,0,1,No Deposit,0,Contract,A,0,1
Online TA,0,1,No Deposit,0,Transient,E,0,3
Direct,0,3,No Deposit,0,Transient,C,0,3
Online TA,0,0,No Deposit,0,Transient,D,0,0
Corporate,0,0,No Deposit,0,Transient,A,0,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,1,3
Direct,0,3,No Deposit,0,Transient-Party,B,0,1
Offline TA/TO,0,1,No Deposit,44,Group,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,1
Groups,0,2,No Deposit,0,Transient-Party,D,0,0
Direct,0,0,No Deposit,0,Transient,D,0,2
Online TA,0,1,No Deposit,0,Transient,D,0,3
Groups,0,0,No Deposit,0,Transient-Party,E,0,0
Online TA,0,1,No Deposit,0,Transient,A,1,2
Online TA,0,0,No Deposit,0,Transient,A,0,0
Online TA,0,1,No Deposit,0,Transient,G,1,0
Offline TA/TO,1,0,No Deposit,0,Transient,A,0,0
Direct,0,0,No Deposit,0,Transient,A,0,1
Online TA,0,5,No Deposit,0,Transient,A,0,1
Online TA,0,2,No Deposit,0,Transient-Party,D,0,0
Aviation,0,0,No Deposit,0,Transient,D,0,0
Online TA,0,2,No Deposit,0,Transient-Party,A,1,1
Direct,0,1,No Deposit,0,Transient,E,1,2
Direct,0,1,No Deposit,0,Transient,F,0,0
Online TA,0,5,No Deposit,0,Transient,D,0,2
Groups,0,1,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,1
Direct,0,0,No Deposit,0,Transient,F,0,0
Complementary,0,0,No Deposit,0,Transient,D,1,2
Groups,0,0,Non Refund,111,Transient,A,0,0
Corporate,0,3,No Deposit,0,Transient,A,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,1,1
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,1
Aviation,0,0,No Deposit,0,Transient,D,0,0
Online TA,0,3,No Deposit,0,Transient,D,0,2
Direct,0,0,No Deposit,0,Transient,F,0,2
Online TA,0,0,No Deposit,0,Transient,B,0,2
Groups,0,0,No Deposit,0,Transient,A,0,0
Corporate,0,1,No Deposit,0,Transient,G,1,2
Online TA,0,0,No Deposit,0,Transient,D,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,2
Corporate,0,1,No Deposit,0,Transient,A,0,1
Aviation,0,0,No Deposit,0,Transient,D,0,0
Direct,0,2,No Deposit,0,Transient,E,0,1
Direct,0,2,No Deposit,0,Group,G,1,2
Direct,0,0,No Deposit,0,Group,D,0,5
Complementary,0,0,No Deposit,0,Transient,P,0,0
Direct,0,1,No Deposit,0,Transient,F,0,2
Online TA,0,0,No Deposit,0,Transient,H,1,0
Groups,0,2,No Deposit,0,Transient-Party,A,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1
Direct,3,0,No Deposit,0,Transient,A,0,3
Online TA,0,0,No Deposit,0,Transient,D,0,1
Online TA,0,0,No Deposit,0,Transient,B,0,2
Complementary,0,0,No Deposit,0,Transient,A,0,1
Corporate,1,0,No Deposit,0,Transient,A,0,1
Online TA,0,1,No Deposit,0,Transient,B,0,4
